Tweet,message,match,polarity,positives,negatives
101,RT @NAUKA_GOV_PL: University World News about #IDUB Excellence Initiative:;After nearly 4 years of dialogue between the government and Pol ,excellence,positive,1,0
102,Holocaust Education Week.;;Collaboration with a FIMS researcher gave Max Eisen the chance to put his story of survi  ,NA,neutral,0,0
103,RT @free_taheri: Nov 4th: 15th day of Saha Mortezai's sit-in at university campus in protest to being denied #PhD enrolment because of her ,"protest, denied",negative,0,2
104,RT @DigiHealthCA: NEW! Resource Guide to Digital Health in Canada. Presenting the new Resource Guide to Digital Health in Canada   a compre ,NA,neutral,0,0
105,"RT @HonMushimba: Like this year, K557million kwacha has been put aside in the 2020 budget for bursaries and loan schemes to support increas ","like, support",positive,2,0
106,"@Intergrity56 @MBuhari Which powers gives the VP to sign things into Law, when the president has not transmitted po  ",NA,neutral,0,0
107,"RT @maeamy_co: If you read one news story today (and I really hope you read many, many more), make it be this one. It's a dive into the tro ",NA,neutral,0,0
108,Education: Keio University (Environment and Information Studies major),NA,neutral,0,0
109,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
110,RT @RHS_VREd: Check out our presentation and learn about the future of education: virtual reality!!! Upcoming presentation on November 7th ,NA,neutral,0,0
111,East Tennessee State University president 'disgusted' by 'It's Okay To Be White' flyers ,NA,neutral,0,0
112,"RT @RWPUSA: Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ",trump,positive,1,0
113,"BTW, my cousin lives in QC. Issue of support 4 children &amp; adults with disabilities is Canada-wide. High time 4 a Na  ","issue, support",neutral,1,1
114,Cancer didn t derail this student s dream of pursuing his college education. Read the latest essay published for My  ,cancer,negative,0,1
115,"RT @rachelleingang: Indigenous UA students said Robbins remarked he didn't want to ""pull an Elizabeth Warren,"" but he took a DNA test that ",NA,neutral,0,0
116,"RT @RWPUSA: Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ",trump,positive,1,0
117,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
118,"IHPME is greatly saddened to learn of the loss of Dr. Peggy Leatt, former chair of IHPME and a leader in health man  ",loss,negative,0,1
119,"RT @RWPUSA: Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ",trump,positive,1,0
120,"Dean Zambone of University at Buffalo School of Dental Medicine, sat down with a reporter, &amp; discussed the school s  ",NA,neutral,0,0
121,RT @free_taheri: Nov 4th: 15th day of Saha Mortezai's sit-in at university campus in protest to being denied #PhD enrolment because of her ,"protest, denied",negative,0,2
122,RT @KCLWP: Join us on Wednesday 20th November for the launch of the new report from @TheCFEY into the Latinx university experience. Hear fr ,NA,neutral,0,0
123,"RT @MicsIrwin: Policy Press | Degrees of Freedom - Prison Education at The Open University, By Rod Earle and James Mehigan ","freedom, prison",neutral,1,1
124,"@uindy celebrated the third annual International Education Month in October with a variety of performing arts, film  ","celebrated, variety",positive,2,0
125,Excellent perspective from @DrMarkSchlissel on @UMich's shared commitment to quality education and mutual prosperit  ,"excellent, commitment",positive,2,0
126,"RT @RWPUSA: Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ",trump,positive,1,0
127,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
128,Nov 4th: 15th day of Saha Mortezai's sit-in at university campus in protest to being denied #PhD enrolment because  ,"protest, denied",negative,0,2
129,Nobody thought Nick Clegg would break that pledge - and he not only broke it but tripled the cost of university edu  ,"break, broke",negative,0,2
130,"Free Education University - How to find scholarships and grants specifically tailored to your personality type, hob  ",free,positive,1,0
131,How do we best help students who are several grade levels behind? It s vital question. But the very fact that it s  ,best,positive,1,0
132,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
133,All one has to do is to look at the notwithstanding clause to see what a shameless lie that is. Bereft of rule of l  ,"shameless, lie, bereft",negative,0,3
134,"RT @tdsbTR: November is Indigenous Education month at @tdsb. Teach students about the histories, cultures and contributions of First Nation ",NA,neutral,0,0
135,"RT @friel_raymond: Delighted to announce that we have appointed a new Director of Education. Mr Kevin Butlin, currently the Director of Aca ",delighted,positive,1,0
136,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
137,"RT @8_16_32bit: Just thinking... I'm really lucky I went to university when I did. My debts are tiny, and I never paid for any tuition. ;;W ","lucky, debts",neutral,1,1
138,"From my ivy undergrad alma mater: ""a family of funds that enables [...] to nimbly respond to today's most pressing  ",NA,neutral,0,0
139,"RT @grawoig: Breaking:  failed to inform federal agency of 'abusive' professor's conduct, unpaid leave"" ",failed,negative,0,1
140,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
141,"RT @Parliament_Ug: Parliament has learnt that due to tuition fees increment at Makerere University, about 1000 students have discontinued s ",discontinued,negative,0,1
142,"Today, our motivator is Chimamanda Adichie, a renowned author and women's rights activist. ; ;Chimamanda was born i  ",renowned,positive,1,0
143,"RT @MicsIrwin: Policy Press | Degrees of Freedom - Prison Education at The Open University, By Rod Earle and James Mehigan ","freedom, prison",neutral,1,1
144,We need culturally competent people leading in higher education. This is embarrassing.  ,leading,positive,1,0
145,The only risk is to spend too much time texting your new friends and family from CES Toronto!;.;.;.;.;.;#CESToronto  ,risk,negative,0,1
146,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
147,@rebeccajoc Education has gone downhill.;;Most kids going to college suffer from inflated egos given to them by tea  ,"suffer, inflated",negative,0,2
148,"@jeremycorbyn Don't tell me, it was Diane Abbott who did the sums and said Yes we can fund that. Just like your off  ",like,positive,1,0
149,RT @OntLiberal: Conservative cuts to OSAP mean fewer students will graduate from our programs.;;We need to broaden access to post-secondar ,conservative,negative,0,1
150,"Today, our motivator is Chimamanda Adichie, a renowned author and women's rights activist. ; ;Chimamanda was born i  ",renowned,positive,1,0
151,RT @UofExeterOnline: Are you looking to advance your career in the field of education? The online MA in Education from the University of Ex ,NA,neutral,0,0
152,"@Studhombre @chrishickman81 @emrazz Uhm. My country pays almost fully for university and it didn't make us poor, Th  ",NA,neutral,0,0
153,We took a trip down to Dallas to attend the 1st Brain Education Leadership Summit hosted at The University Of Texas  ,NA,neutral,0,0
154,"Just thinking... I'm really lucky I went to university when I did. My debts are tiny, and I never paid for any tuit  ","lucky, debts",neutral,1,1
155,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
156,A new training officer ain't gonna fix this @UUtah. #utpol;,NA,neutral,0,0
157,"@Shonnieb2 Nah. I'm a Brit, and I got free University education.;;I accept not everyone likes what I like, but dism  ","free, likes",positive,2,0
158,RT @iamsrk: On the way to @latrobe University.. Thank you for the kind gesture of offering a scholarship to a girl student from India for h ,thank,positive,1,0
159,"RT @CourtneyLTanner: THREAD: For months, I ve been reporting for this article  requesting records, interviewing former staff + talking to s ",NA,neutral,0,0
160,Does it make sense that university educations take a certain number of years? Why not let students finish in less t  ,NA,neutral,0,0
161,"UAMS has a unique combination of education, research and clinical expertise that promotes and supports teamwork and  ",supports,positive,1,0
162,RT @rebaliza4: This guy got a degree from Osmania University. This is a fraud university in Andhra Pradesh-India. Students enroll and absco ,fraud,negative,0,1
163,RT @UMESNews: A college education transcends you to a new level. Discover the excellence that is the University of Maryland Eastern Shore F ,excellence,positive,1,0
164,.@mobilize_u is our higher education outreach campaign designed to promote sustainability and #climateaction on cam  ,sustainability,positive,1,0
165,RT @AngelaGemmill: Living wage gives food for thought. Sudbury Workers' Education and Advocacy Centre (SWEAC) launches campaign tonight wit ,NA,neutral,0,0
166,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
167,RT @plug_cv: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A universit ,NA,neutral,0,0
168,RT @SheaSprague7: I am proud to announce my commitment to further my education and play Division 1 baseball at Elon University. Thank you t ,"proud, commitment, thank",positive,3,0
169,"Newsom, Brooklynn Siebel Newsom;Education: Santa Clara University (1985 1989), Redwood High School. managed through  ",NA,neutral,0,0
170,RT @EmmanueJonathan: #Education: First University of Education in South East Geo-political Zone Constructed by Gov Ifeanyi Ugwuanyi's admin ,NA,neutral,0,0
171,RT @PTIAJK_Official: 10.7 billion will be directed to improve the quality of college and university education through provision of online c ,improve,positive,1,0
172,"I understand that having a winning football program is a nonnegotiable at FSU. At the same time, maybe they could h  ",winning,positive,1,0
173,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
174,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
175,"#insanity #postsecondary #education #cdnpoli #canada;Many Students Are Fed Up with Diversity, Inclusion, and Equity  ",NA,neutral,0,0
176,"Free Education University &gt;&gt; How to get grants for trade or vocational school, community colleges, or a university  ",free,positive,1,0
177, Institutional procedures and red tape  ranks as one of the top five sources of stress amongst #university faculty  ,"top, stress",neutral,1,1
178,RT @BellHappe: @Spoonhead8 @furcoatnonics @CorbynistaTeen And even when you do it s a negligible increase. Especially considering free univ ,free,positive,1,0
179,It's University Press Week! We celebrate University Presses every month in our Higher Education School Library! Oct  ,celebrate,positive,1,0
180,Haven't blogged for years but thought I would be able to add something to the discussion about Electives and the cu  ,NA,neutral,0,0
181,RT @85thGuild: Our students led by the Guild President have faced the committee for education and sports @Parliament_Ug and they clearly ta ,"led, clearly",positive,2,0
182,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
183,"RT @SpencerVignes: From Cradle to Grave/2;Declared missing in action in October 1916 during the Battle of the Somme, Leigh was renowned as ",renowned,positive,1,0
184,"@AndyRichter @DavidColeAIA College education helps, but not in every case. Richard Spencer was a student at UVA, Un  ",NA,neutral,0,0
185,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
186,RT @PTIofficial: A great many students have had to quit education or leave their desired field of study just b/c they can t afford universi ,"great, afford",positive,2,0
187,RT @SRSilvie: @Oak74679721 @2tweetaboutit @thisislaurat All too true; and it will continue all through their education. Remember they spend ,NA,neutral,0,0
188,RT @GKitchenParty: .@MusiCounts is Canada s music education charity &amp; your support tonight in St. John s;is helping bring the magic of musi ,"support, helping, magic",positive,3,0
189,RT @JohnMcCraeSS: Canadian Armed Forces Paid Education PlanvariableApplications accepted throughout the yearThe Canadian Armed Forces (CAF) ,NA,neutral,0,0
190,RT @iamkingmonye: At every university ;All faculty girls are always dying to date an engineering boy.;Every guy wants to have a law female ,dying,negative,0,1
191,"RT @SpencerVignes: From Cradle to Grave/2;Declared missing in action in October 1916 during the Battle of the Somme, Leigh was renowned as ",renowned,positive,1,0
192,"Can you recommend anyone for this job? Educator-PT -  #Education #LomaLinda, CA",recommend,positive,1,0
193,Learn what it takes to become a successful entrepreneur as a newcomer to Canada during Entrepreneurship Pathways fo  ,successful,positive,1,0
194,"RT @ReadySetWorkng: To kickstart this year's edition, a Sensitization Programme for Lagos State University (LASU) final year students with ",NA,neutral,0,0
195,"RT @Guild_One_Inc:  All students will learn about fundamental Blockchain, DLT and smart contract concepts, aspects of the DLT business worl ",smart,positive,1,0
196,RT @HaiLe2610: @lsbu; ;Choose the future you want! The future you deserve. It s time to get what s yours! Join LSBU through Clearing - ap ,NA,neutral,0,0
197,"RT @NicoleBarbaro: There is no college education worth $100,000 per year. Absolutely not.  ",worth,positive,1,0
198,"RT @RWPUSA: Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ",trump,positive,1,0
199,RT @HaiLe2610: @lsbu; ;What can t you do? It s time to get yours! LSBU is OPEN for clearing. It s time to get what s yours! Join LSBU thr ,NA,neutral,0,0
200,"Regional Australia s share of higher education students has fallen steadily, with the biggest drop occurring last y  ",fallen,negative,0,1
201,"RT @PKU1898: Today, #Peking University, the Beijing Municipal Education Commission, and the Korea Foundation for Advanced Studies hosted th ",advanced,positive,1,0
202,@Oak74679721 @2tweetaboutit @thisislaurat All too true; and it will continue all through their education. Remember  ,NA,neutral,0,0
203,RT @RHS_VREd: Check out our presentation and learn about the future of education: virtual reality!!! Upcoming presentation on November 7th ,NA,neutral,0,0
204,"RT @RWPUSA: Paula White is to religion what Trump University was to higher education:  a fraud.;;Paula White, Newest White House Aide, Is a ",trump,positive,1,0
205,"RT @ReadySetWorkng: To kickstart this year's edition, a Sensitization Programme for Lagos State University (LASU) final year students with ",NA,neutral,0,0
206,Living wage gives food for thought. Sudbury Workers' Education and Advocacy Centre (SWEAC) launches campaign tonigh  ,NA,neutral,0,0
207,RT @CourtneyLTanner: How the University of Utah s police department treated female victims and officers for years before Lauren McCluskey s ,NA,neutral,0,0
208,"RT @_LiaSimone: On Thursday October 31st, 2019 I had the honor to be recognized as Bloomsburg University s First Chartered PRESIDENT of The ",honor,positive,1,0
209,RT @RHS_VREd: Check out our presentation and learn about the future of education: virtual reality!!! Upcoming presentation on November 7th ,NA,neutral,0,0
210,RT @iCeGS: Our Annual Lecture 19 will be delivered by David Andrews OBE. Title:  Is Gatsby great for careers education? A vision for the fu ,great,positive,1,0
211,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
212,"RT @CourtneyLTanner: This is a long thread, so thanks for hanging w/ me. I want to say thanks to all of the women who came forward to talk ",NA,neutral,0,0
213,RT @iamkingmonye: At every university ;All faculty girls are always dying to date an engineering boy.;Every guy wants to have a law female ,dying,negative,0,1
214,Hello to all #eportchat participants.  I'm coming to you from Northeastern University in Boston.  I teach education  ,NA,neutral,0,0
215,"""In a failed attempt to connect and relate to the group, Robbins began, 'Not to pull an Elizabeth Warren' ... "" the  ",failed,negative,0,1
216,"Position: Assistant or Associate Professor - Mathematics Education - Arizona State University, S... ",NA,neutral,0,0
217,@ScienceAlc Have a look at key concept PFM2.4 Drag at  lots of evidence-informed resources a  ,drag,negative,0,1
218,RT @tgradous: University faces legal threats from students of color who demand university stop using the SAT and ACT because their scores ' ,threats,negative,0,1
219,"RT @schaheid: Oh look, Imran Khan is equipping the next generation of poor people with almost free University education. ","poor, free",neutral,1,1
220,"RT @byu_sucks: @jason15shelley My favorite part about this is that he would be one of those guys to say ""There's no such thing as Utah fans ","favorite, fans",positive,2,0
221,"RT @BLOCKTVnews: ""Universities are offering courses, but they can t keep up with the demand. Students want to learn about this, and they ju ",NA,neutral,0,0
222,RT @jcu: Meet the 17-year-old who will complete his Bachelor of Advanced Science from James Cook University this year. ,advanced,positive,1,0
223,"RT @ConservJobBoard: Job Listing: Environmental Education Instructor: Mount Rainier Institute-University of Washington Eatonville, WA ",NA,neutral,0,0
224,Mumps confirmed at Ridley High School in latest outbreak of contagious virus  Mumps in fully  ,"outbreak, contagious, virus",negative,0,3
225,RT @hannytalker: admin officer;;Location: Abuja;;0-2 years. He/she must be very conversant with the use of social media;;Education: A unive ,NA,neutral,0,0
226,"RT @Prisonerathome: @ANI @itssinghswati JNU has always stood for the Rights. Being a politically vibrant campus, students here understand t ",vibrant,positive,1,0
